agency_id,agency_name,agency_url,agency_timezone,agency_phone,agency_fare_url,agency_lang,agency_email
LAANE_VIRUMAA_10230847,HANSABUSS AS,http://www.hansabuss.ee,Europe/Tallinn,+372 600 7755,https://iil.ee,et,liinid@hansabuss.ee
10111752,Alukvik OÜ,http://www.alukvik.ee,Europe/Tallinn,+372 508 2087,https://iil.ee,et,alukvik@gmail.com
12794933,Ekspressbussiliinid osaühing,https://www.facebook.com/ekspressbussiliinid/,Europe/Tallinn,+372 5259100,https://www.tpilet.ee/,et,ekspressbussiliinid@gmail.com
HARJUMAA_10085032,GoBus AS,http://www.gobus.ee,Europe/Tallinn,+372 6404000,https://iil.ee,et,harjumaa@gobus.ee
HARJUMAA_10230847,HANSABUSS AS,http://www.hansabuss.ee,Europe/Tallinn,+372 6007755,https://iil.ee,et,liinid@hansabuss.ee
HARJUMAA_10077848,SEBE Aktsiaselts,http://www.sebe.ee,Europe/Tallinn,+372 6022555,https://iil.ee,et,harjuinfo@sebe.ee
12678055,TS Laevad OÜ,http://www.praamid.ee,Europe/Tallinn,6318323,http://www.praamid.ee,et,info@praamid.ee
12019051,OÜ Baltic Shuttle,https://www.balticshuttle.ee/ee,Europe/Tallinn,+372 53048877,https://www.balticshuttle.ee/ee,et,info@balticshuttle.ee
KAUGLIINID_10092807,AS Lux Express Estonia,https://luxexpress.eu/,Europe/Tallinn,+372 680 0909,https://luxexpress.eu/,et,info@luxexpress.eu
KAUGLIINID_10085032,GoBus AS,https://gobus.ee,Europe/Tallinn,+372 640 4000,https://gobus.ee,et,klienditugi@gobus.ee
11362249,Kalle Bussid OÜ,https://www.facebook.com/KalleBussid/,Europe/Tallinn,+372 5177354,https://www.facebook.com/KalleBussid/,et,kallebussidou@gmail.com
10769546,Taisto Express OÜ,https://express.taisto.ee/,Europe/Tallinn,+372 56257001,https://express.taisto.ee/,et,taisto@taisto.ee
KAUGLIINID_10117921,Aktsiaselts MK Autobuss,https://mkautobuss.ee/,Europe/Tallinn,+372 5551 5316,https://mkautobuss.ee/,et,info@mkautobuss.ee
10696072,Arilix OÜ,https://www.bussikeskus.ee/,Europe/Tallinn,+372 5886 0000,https://www.bussikeskus.ee/,et,tellimine@bussikeskus.ee
12483162,Estonian Lines OÜ,https://www.estonianlines.eu,Europe/Tallinn,+372 518 8493,https://www.estonianlines.eu,et,info@estonianlines.eu
KAUGLIINID_10230847,HANSABUSS AS,https://hansabuss.ee/,Europe/Tallinn,+ 372 600 7755,https://hansabuss.ee/,et,teated@hansabuss.ee
KAUGLIINID_10734513,MK Reis OÜ,https://reis.ee/,Europe/Tallinn,+372 5101872,https://reis.ee/,et,info@reis.ee
10180026,osaühing Tulisilm,https://tulisilm.eu/,Europe/Tallinn,+372 6888080,https://tulisilm.eu/,et,info@tulisilm.eu
12131492,Sirel Reisid OÜ,http://sirelreisid.com/,Europe/Tallinn,+372 515 2849,http://sirelreisid.com/,et,info@sirelreisid.com
TARTUMAA_10230847,HANSABUSS AS,http://www.hansabuss.ee,Europe/Tallinn,+372 5213555,https://transport.tartumaa.ee/bussiliiklus/,et,teated@hansabuss.ee
10867071,Kihnu Veeteed AS,https://www.veeteed.com/#/et/,Europe/Tallinn,+372 4431069,https://www.veeteed.com/#/et/main-inside/select-datetime?route=LAA-PII-LAA&package=LAA-PII&date=2026-01-23,et,veeteed@veeteed.com
10520953,ELRON,https://elron.ee/,Europe/Tallinn,6160245,https://elron.ee/piletiinfo/piletid,et,klienditugi@elron.ee
IDA_VIRU_10085032,GoBus AS,https://www.gobus.ee,Europe/Tallinn,+3723540344,https://maakonnad.pilet.ee/,et,ida@gobus.ee
10895370,MEELIS HEEK,http://www.peatus.ee,Europe/Tallinn,+372 5265204,https://maakonnad.pilet.ee/,et,meelisheek@hot.ee
IDA_VIRU_10734513,MK Reis OÜ,http://www.reis.ee,Europe/Tallinn,+372 5101872,https://maakonnad.pilet.ee/,et,rakvere@reis.ee
VILJANDIMAA_10092807,AS Lux Express Estonia,http://www.luxexpress.eu,Europe/Tallinn,+3726813471,http://www.luxexpress.eu,et,info@luxexpress.eu
VILJANDIMAA_10926425,Atko Bussiliinid AS,https://atko.ee/,Europe/Tallinn,+3724340089,https://maakonnad.pilet.ee,et,viljandi@atko.ee
