service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
LAANE_VIRUMAA_KV_22.12.26-04.01.26-Fr,20251222,20260104,0,0,0,0,1,0,0
LAANE_VIRUMAA_KV_23.02-01.03.26-We,20260223,20260301,0,0,1,0,0,0,0
LAANE_VIRUMAA_KV_22.12.26-04.01.26-Mo,20251222,20260104,1,0,0,0,0,0,0
LAANE_VIRUMAA_KV_22.12.26-04.01.26-Sa,20251222,20260104,0,0,0,0,0,1,0
LAANE_VIRUMAA_Talv_05.01-05.04.26-Su,20260105,20260405,0,0,0,0,0,0,1
LAANE_VIRUMAA_Talv_05.01-05.04.26-Th,20260105,20260405,0,0,0,1,0,0,0
LAANE_VIRUMAA_KV_23.02-01.03.26-Mo,20260223,20260301,1,0,0,0,0,0,0
LAANE_VIRUMAA_KV_23.02-01.03.26-Tu,20260223,20260301,0,1,0,0,0,0,0
LAANE_VIRUMAA_Talv_05.01-05.04.26-We,20260105,20260405,0,0,1,0,0,0,0
LAANE_VIRUMAA_KV_22.12.26-04.01.26-Su,20251222,20260104,0,0,0,0,0,0,1
LAANE_VIRUMAA_KV_22.12.26-04.01.26-Tu,20251222,20260104,0,1,0,0,0,0,0
LAANE_VIRUMAA_KV_23.02-01.03.26-Sa,20260223,20260301,0,0,0,0,0,1,0
LAANE_VIRUMAA_KV_23.02-01.03.26-Th,20260223,20260301,0,0,0,1,0,0,0
LAANE_VIRUMAA_Talv_05.01-05.04.26-Tu,20260105,20260405,0,1,0,0,0,0,0
LAANE_VIRUMAA_KV_23.02-01.03.26-Su,20260223,20260301,0,0,0,0,0,0,1
LAANE_VIRUMAA_KV_22.12.26-04.01.26-Th,20251222,20260104,0,0,0,1,0,0,0
LAANE_VIRUMAA_Talv_05.01-05.04.26-Sa,20260105,20260405,0,0,0,0,0,1,0
LAANE_VIRUMAA_Talv_05.01-05.04.26-Fr,20260105,20260405,0,0,0,0,1,0,0
LAANE_VIRUMAA_Talv_05.01-05.04.26-Mo,20260105,20260405,1,0,0,0,0,0,0
LAANE_VIRUMAA_KV_22.12.26-04.01.26-We,20251222,20260104,0,0,1,0,0,0,0
LAANE_VIRUMAA_KV_23.02-01.03.26-Fr,20260223,20260301,0,0,0,0,1,0,0
HARJUMAA_KOV_KP_al_19.01.26_kooliaasta_25-26-Th,20260119,20260609,0,0,0,1,0,0,0
HARJUMAA_KOV_KP_ainult_20.02.26_erisõiduplaan-Th,20260220,20260220,0,0,0,1,0,0,0
HARJUMAA_IKEA_kommerts-Fr,20251001,20260609,0,0,0,0,1,0,0
HARJUMAA_IKEA_kommerts-Su,20251001,20260609,0,0,0,0,0,0,1
HARJUMAA_KOV_KV_kooliaasta_25-26-Th,20251020,20260419,0,0,0,1,0,0,0
HARJUMAA_KOV_riigipüha_E-N-We,20251224,20261224,0,0,1,0,0,0,0
HARJUMAA_KOV_KP_al_19.01.26_kooliaasta_25-26-Sa,20260119,20260609,0,0,0,0,0,1,0
HARJUMAA_KOV_riigipüha_R-Mo,20251226,20261225,1,0,0,0,0,0,0
HARJUMAA_ATL_05.01.26-09.06.26_(va_12.01-15.02_Saku)_Rävala-Th,20260105,20260609,0,0,0,1,0,0,0
HARJUMAA_ATL_12.01.26-15.02.26_Rävala+Saku-Sa,20260112,20260215,0,0,0,0,0,1,0
