fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
Harju1>Rapla2,4.3,EUR,0,,9000,HARJUMAA_10230847
Harju tsoonisisene,1.1,EUR,0,,5400,HARJUMAA_10230847
Harju2>Rapla2,3.4,EUR,0,,9000,HARJUMAA_10230847
Harju3>Lääne3 Viru2,2.7,EUR,0,,7200,HARJUMAA_10230847
Harju3>Rapla2,2.5,EUR,0,,7200,HARJUMAA_10230847
Harju2>Lääne3 Viru2,3.6,EUR,0,,9000,HARJUMAA_10230847
Maakonnad tsoonisisene,1.0,EUR,0,,5400,HARJUMAA_10230847
Harju 2 tsooni,2.0,EUR,0,,5400,HARJUMAA_10230847
Harju4>Rapla2 Lääne3 Viru2,1.8,EUR,0,,5400,HARJUMAA_10230847
Harju 4 tsooni,3.8,EUR,0,,9000,HARJUMAA_10230847
Kuus tsooni,5.9,EUR,0,,9000,HARJUMAA_10230847
Harju1>Lääne3 Viru2,4.5,EUR,0,,9000,HARJUMAA_10230847
Harju 3 tsooni,2.9,EUR,0,,7200,HARJUMAA_10230847
Harju 1 tsoon,1.1,USD,0,,5400,RAPLAMAA_10085032
Rapla 1 tsoon,1.0,USD,0,,5400,RAPLAMAA_10085032
Rapla 2 tsooni,1.7,USD,0,,7200,RAPLAMAA_10085032
