feed_publisher_name,feed_publisher_url,feed_lang,feed_contact_url,feed_contact_email,feed_start_date,feed_end_date,feed_version
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20251222,20260405,"Updated: Jan 8, 2026, 5:33 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20251001,20261225,"Updated: Feb 6, 2026, 1:54 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20251215,20260222,"Updated: Dec 19, 2025, 6:59 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,https://peatus.ee/content/teenusest,peatus@agri.ee,20250901,20310313,"Updated: Feb 4, 2026, 1:59 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,https://peatus.ee/content/teenusest,peatus@agri.ee,20250101,20291231,"Updated: Feb 5, 2026, 4:34 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20260126,20261231,"Updated: Jan 30, 2026, 12:04 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,https://peatus.ee/content/teenusest,peatus@agri.ee,20250901,20261231,"Updated: Feb 6, 2026, 5:49 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20250901,20261231,"Updated: Feb 2, 2026, 10:46 PM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/regionaalareng-uhistransport/uhistransport-ja-reisimine/uhistranspordiregistri-avaandmed,et,https://peatus.ee/content/teenusest,peatus@agri.ee,20250901,20260609,"Updated: Jan 23, 2026, 12:23 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20250825,20261231,"Updated: Feb 6, 2026, 12:47 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20250901,20270103,"Updated: Jan 22, 2026, 3:39 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20251001,20270103,"Updated: Feb 4, 2026, 11:10 PM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,https://peatus.ee/content/teenusest,peatus@agri.ee,20260101,20261231,"Updated: Jan 28, 2026, 12:32 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/regionaalareng-uhistransport/uhistransport-ja-reisimine/uhistranspordiregistri-avaandmed,et,https://peatus.ee/content/teenusest,peatus@agri.ee,20250930,20261231,"Updated: Feb 5, 2026, 5:52 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20251003,20271231,"Updated: Dec 9, 2025, 1:54 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20251001,20260301,"Updated: Jan 30, 2026, 2:23 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20250901,20261231,"Updated: Feb 5, 2026, 1:42 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20251124,20260301,"Updated: Jan 30, 2026, 2:01 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,https://peatus.ee/content/teenusest,peatus@agri.ee,20251110,20261231,"Updated: Jan 27, 2026, 4:18 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,https://peatus.ee/content/teenusest,peatus@agri.ee,20250901,20261231,"Updated: Feb 2, 2026, 11:50 PM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20251201,20261231,"Updated: Feb 6, 2026, 2:40 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,,,20260105,20260614,"Updated: Jan 22, 2026, 11:28 PM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,https://peatus.ee/content/teenusest,peatus@agri.ee,20251117,20301227,"Updated: Jan 27, 2026, 3:49 AM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,https://peatus.ee/content/teenusest,peatus@agri.ee,20251001,20261231,"Updated: Jan 26, 2026, 11:11 PM"
Regionaal- ja Põllumajandusministeerium,https://agri.ee/,et,https://peatus.ee/content/teenusest,peatus@agri.ee,20250901,20261231,"Updated: Feb 1, 2026, 11:32 PM"
